t_s,position_m,velocity_mps,acceleration_mps2,jerk_mps3,ratio_percent
0,0,0,0.16,0,0
0.02,3.2e-05,0.0032,0.16,0,0.114285714286
0.04,0.000128,0.0064,0.16,0,0.228571428571
0.06,0.000288,0.0096,0.16,0,0.342857142857
0.08,0.000512,0.0128,0.16,0,0.457142857143
0.1,0.0008,0.016,0.16,0,0.571428571429
0.12,0.001152,0.0192,0.16,0,0.685714285714
0.14,0.001568,0.0224,0.16,0,0.8
0.16,0.002048,0.0256,0.16,0,0.914285714286
0.18,0.002592,0.0288,0.16,0,1.02857142857
0.2,0.0032,0.032,0.16,0,1.14285714286
0.22,0.003872,0.0352,0.16,0,1.25714285714
0.24,0.004608,0.0384,0.16,0,1.37142857143
0.26,0.005408,0.0416,0.16,0,1.48571428571
0.28,0.006272,0.0448,0.16,0,1.6
0.3,0.0072,0.048,0.16,0,1.71428571429
0.32,0.008192,0.0512,0.16,0,1.82857142857
0.34,0.009248,0.0544,0.16,0,1.94285714286
0.36,0.010368,0.0576,0.16,0,2.05714285714
0.38,0.011552,0.0608,0.16,0,2.17142857143
0.4,0.0128,0.064,0.16,0,2.28571428571
0.42,0.014112,0.0672,0.16,0,2.4
0.44,0.015488,0.0704,0.16,0,2.51428571429
0.46,0.016928,0.0736,0.16,0,2.62857142857
0.48,0.018432,0.0768,0.16,0,2.74285714286
0.5,0.02,0.08,0.16,0,2.85714285714
0.52,0.021632,0.0832,0.16,0,2.97142857143
0.54,0.023328,0.0864,0.16,0,3.08571428571
0.56,0.025088,0.0896,0.16,0,3.2
0.58,0.026912,0.0928,0.16,0,3.31428571429
0.6,0.0288,0.096,0.16,0,3.42857142857
0.62,0.030752,0.0992,0.16,0,3.54285714286
0.64,0.032768,0.1024,0.16,0,3.65714285714
0.66,0.034848,0.1056,0.16,0,3.77142857143
0.68,0.036992,0.1088,0.16,0,3.88571428571
0.7,0.0392,0.112,0.16,0,4
0.72,0.041472,0.1152,0.16,0,4.11428571429
0.74,0.043808,0.1184,0.16,0,4.22857142857
0.76,0.046208,0.1216,0.16,0,4.34285714286
0.78,0.048672,0.1248,0.16,0,4.45714285714
0.8,0.0512,0.128,0.16,0,4.57142857143
0.82,0.053792,0.1312,0.16,0,4.68571428571
0.84,0.056448,0.1344,0.16,0,4.8
0.86,0.059168,0.1376,0.16,0,4.91428571429
0.88,0.061952,0.1408,0.16,0,5.02857142857
0.9,0.0648,0.144,0.16,0,5.14285714286
0.92,0.067712,0.1472,0.16,0,5.25714285714
0.94,0.070688,0.1504,0.16,0,5.37142857143
0.96,0.073728,0.1536,0.16,0,5.48571428571
0.98,0.076832,0.1568,0.16,0,5.6
1,0.08,0.16,0.16,0,5.71428571429
1.02,0.083232,0.1632,0.16,0,5.82857142857
1.04,0.086528,0.1664,0.16,0,5.94285714286
1.06,0.089888,0.1696,0.16,0,6.05714285714
1.08,0.093312,0.1728,0.16,0,6.17142857143
1.1,0.0968,0.176,0.16,0,6.28571428571
1.12,0.100352,0.1792,0.16,0,6.4
1.14,0.103968,0.1824,0.16,0,6.51428571429
1.16,0.107648,0.1856,0.16,0,6.62857142857
1.18,0.111392,0.1888,0.16,0,6.74285714286
1.2,0.1152,0.192,0.16,0,6.85714285714
1.22,0.119072,0.1952,0.16,0,6.97142857143
1.24,0.123008,0.1984,0.16,0,7.08571428571
1.26,0.127008,0.2016,0.16,0,7.2
1.28,0.131072,0.2048,0.16,0,7.31428571429
1.3,0.1352,0.208,0.16,0,7.42857142857
1.32,0.139392,0.2112,0.16,0,7.54285714286
1.34,0.143648,0.2144,0.16,0,7.65714285714
1.36,0.147968,0.2176,0.16,0,7.77142857143
1.38,0.152352,0.2208,0.16,0,7.88571428571
1.4,0.1568,0.224,0.16,0,8
1.42,0.161312,0.2272,0.16,0,8.11428571429
1.44,0.165888,0.2304,0.16,0,8.22857142857
1.46,0.170528,0.2336,0.16,0,8.34285714286
1.48,0.175232,0.2368,0.16,0,8.45714285714
1.5,0.18,0.24,0.16,0,8.57142857143
1.52,0.184832,0.2432,0.16,0,8.68571428571
